n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,dz,t,df,p_ttest,condition_id,condition_label,baseline_id,item,item_label,baseline_mean,condition_mean,contrast,target_item,is_target,p_fdr_all_30,largest_spillover_item,largest_spillover_mean_difference,selectivity_gap_absolute,selectivity_ratio_absolute
50,-5.360000,1.848993,0.261487,-5.885478,-4.834522,-2.898875,-20.498142,49,0.000000,C02,Body,C01,pc_sub,Body continuity,6.700000,1.340000,Body,pc_sub,True,0.000000,pc_func,-0.760000,4.600000,7.052632
50,-5.280000,1.773271,0.250778,-5.783958,-4.776042,-2.977548,-21.054447,49,0.000000,C03,Memory,C01,pc_info,Memory continuity,6.840000,1.560000,Memory,pc_info,True,0.000000,pc_self,-0.740000,4.540000,7.135135
50,-4.960000,1.603058,0.226707,-5.415584,-4.504416,-3.094086,-21.878491,49,0.000000,C04,Function,C01,pc_func,Functional continuity,6.780000,1.820000,Function,pc_func,True,0.000000,pc_self,-0.980000,3.980000,5.061224
50,-3.500000,2.168889,0.306727,-4.116392,-2.883608,-1.613729,-11.410788,49,0.000000,C05,Self-ID uncertain,C01,pc_self,Self-continuity,6.380000,2.880000,Self-ID uncertain,pc_self,True,0.000000,pc_info,-0.380000,3.120000,9.210526
50,-2.420000,3.452831,0.488304,-3.401284,-1.438716,-0.700874,-4.955929,49,0.000009,C06,Transition,C01,pc_tran,Transition continuity,5.500000,3.080000,Transition,pc_tran,True,0.000045,pc_info,-0.160000,2.260000,15.125000
50,-3.540000,2.628028,0.371659,-4.286877,-2.793123,-1.347018,-9.524853,49,0.000000,A09,Self-denial anchor,C01,pc_self,Self-continuity,6.380000,2.840000,Self-denial anchor,pc_self,True,0.000000,pc_info,-0.120000,3.420000,29.500000
