classification,definition,count,n,proportion,wilson_ci95_low,wilson_ci95_high
both_predecessor_links_high,j_ab >= 5 and j_ac >= 5,6,49,0.122449,0.057348,0.242444
transitivity_like_discordance,"j_ab >= 5, j_ac >= 5, and j_bc <= 4",2,49,0.040816,0.011266,0.137130
